id,year,head80,age,educ,marr,exper,expersq,hours,wage,hushrs,faminc,ch0_2,ch3_5,ch6_17,children,inlf,nwifeinc,rwage,lrwage,y80,y81,y82,y83,y84,y85,y86,y87,y88,y89,y90,y91,y92,nwifeincb,ch0_2b,ch3_5b,ch6_17b,marrb
1,80,1,32,14,0,7.928,62.85318,2020,3.27,0,7014,0,0,2,2,1,.4086,3.952617,1.374378,1,0,0,0,0,0,0,0,0,0,0,0,0,2.996251,0,0,1.307692,0
1,81,1,33,14,0,8.927999,79.70918,2014,3.77,0,7600,0,0,2,2,1,.00722,4.130601,1.418423,0,1,0,0,0,0,0,0,0,0,0,0,0,2.996251,0,0,1.307692,0
1,82,1,34,14,0,9.927999,98.56517,2074,5.62,0,12050,0,0,2,2,1,.3941202,5.800392,1.757926,0,0,1,0,0,0,0,0,0,0,0,0,0,2.996251,0,0,1.307692,0
1,83,1,35,14,0,10.928,119.4212,2009,5.8,0,12710,0,0,2,2,1,1.0578,5.8,1.757858,0,0,0,1,0,0,0,0,0,0,0,0,0,2.996251,0,0,1.307692,0
1,84,1,36,14,0,11.928,142.2772,2015,5.56,0,12340,0,0,2,2,1,1.1366,5.329754,1.673305,0,0,0,0,1,0,0,0,0,0,0,0,0,2.996251,0,0,1.307692,0
1,85,1,37,14,0,12.928,167.1332,1944,6.38,0,13131,0,0,2,2,1,.7282798,5.905767,1.775929,0,0,0,0,0,1,0,0,0,0,0,0,0,2.996251,0,0,1.307692,0
1,86,1,38,14,0,13.9,193.21,2156,6.96,0,16684,0,0,2,2,1,1.67824,6.324973,1.844506,0,0,0,0,0,0,1,0,0,0,0,0,0,2.996251,0,0,1.307692,0
1,87,1,39,14,0,14.9,222.01,2700,7.07,0,22714,0,0,2,2,1,3.625,6.198492,1.824306,0,0,0,0,0,0,0,1,0,0,0,0,0,2.996251,0,0,1.307692,0
1,88,1,40,14,0,15.9,252.81,1428,12.25,0,21588,0,0,1,1,1,4.095,10.31318,2.333423,0,0,0,0,0,0,0,0,1,0,0,0,0,2.996251,0,0,1.307692,0
1,89,1,41,14,0,16.614,276.025,2500,8.4,0,24000,0,0,0,0,1,3.000001,6.746988,1.909096,0,0,0,0,0,0,0,0,0,1,0,0,0,2.996251,0,0,1.307692,0
