id,year,choice,wage,educ,expwc,expbc,expser,manuf,black,lwage,y81,y82,y83,y84,y85,y86,y87,enroll,employ,attrit,exper,expersq,status
1,81,2,,10,0,0,0,0,1,,1,0,0,0,0,0,0,0,0,0,0,0,1
1,82,2,,10,0,0,0,0,1,,0,1,0,0,0,0,0,0,0,0,0,0,1
1,83,2,,10,0,0,0,0,1,,0,0,1,0,0,0,0,0,0,0,0,0,1
1,84,1,,10,0,0,0,0,1,,0,0,0,1,0,0,0,1,0,0,0,0,0
1,85,2,,11,0,0,0,0,1,,0,0,0,0,1,0,0,0,0,0,0,0,1
1,86,2,,11,0,0,0,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,1
1,87,2,,11,0,0,0,0,1,,0,0,0,0,0,0,1,0,0,0,0,0,1
2,81,2,,12,0,0,0,0,1,,1,0,0,0,0,0,0,0,0,0,0,0,1
2,82,4,10091.74,12,0,0,0,0,1,9.219473,0,1,0,0,0,0,0,0,1,0,0,0,2
2,83,4,13378.36,12,0,1,0,0,1,9.501393,0,0,1,0,0,0,0,0,1,0,1,1,2
2,84,5,15889.83,12,0,2,0,0,1,9.673434,0,0,0,1,0,0,0,0,1,0,2,4,2
2,85,5,,12,0,2,1,0,1,,0,0,0,0,1,0,0,0,1,0,3,9,2
2,86,4,18000,12,0,2,2,0,1,9.798127,0,0,0,0,0,1,0,0,1,0,4,16,2
2,87,4,15841.41,12,0,3,2,0,1,9.670382,0,0,0,0,0,0,1,0,1,0,5,25,2
4,81,2,,9,0,0,0,0,1,,1,0,0,0,0,0,0,0,0,0,0,0,1
4,82,2,,9,0,0,0,0,1,,0,1,0,0,0,0,0,0,0,0,0,0,1
4,83,2,,9,0,0,0,0,1,,0,0,1,0,0,0,0,0,0,0,0,0,1
4,84,2,,9,0,0,0,0,1,,0,0,0,1,0,0,0,0,0,0,0,0,1
4,85,2,,9,0,0,0,0,1,,0,0,0,0,1,0,0,0,0,0,0,0,1
4,86,2,,9,0,0,0,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,1
4,87,5,6093.6,9,0,0,0,0,1,8.714994,0,0,0,0,0,0,1,0,1,0,0,0,2
5,81,3,9268.52,9,0,1,0,0,1,9.134379,1,0,0,0,0,0,0,0,1,0,1,1,2
5,82,5,9383.31,9,1,1,0,0,1,9.146688,0,1,0,0,0,0,0,0,1,0,2,4,2
5,83,5,9580.38,9,1,1,1,0,1,9.167473,0,0,1,0,0,0,0,0,1,0,3,9,2
5,84,3,,9,1,1,2,0,1,,0,0,0,1,0,0,0,0,1,0,4,16,2
5,85,5,9682.08,9,2,1,2,0,1,9.178032,0,0,0,0,1,0,0,0,1,0,5,25,2
5,86,5,16061.47,9,2,1,3,0,1,9.684178,0,0,0,0,0,1,0,0,1,0,6,36,2
5,87,3,11017.23,9,2,1,4,0,1,9.307216,0,0,0,0,0,0,1,0,1,0,7,49,2
6,81,2,,8,0,1,0,0,1,,1,0,0,0,0,0,0,0,0,0,1,1,1
6,82,4,10848.16,8,0,1,0,0,1,9.291751,0,1,0,0,0,0,0,0,1,0,1,1,2
6,83,4,16684.02,8,0,2,0,0,1,9.722207,0,0,1,0,0,0,0,0,1,0,2,4,2
6,84,4,18901.93,8,0,3,0,0,1,9.847019,0,0,0,1,0,0,0,0,1,0,3,9,2
6,85,2,,8,0,4,0,0,1,,0,0,0,0,1,0,0,0,0,0,4,16,1
6,86,2,,8,0,4,0,0,1,,0,0,0,0,0,1,0,0,0,0,4,16,1
6,87,2,,8,0,4,0,0,1,,0,0,0,0,0,0,1,0,0,0,4,16,1
7,81,2,,10,0,1,0,0,1,,1,0,0,0,0,0,0,0,0,0,1,1,1
7,82,2,,10,0,1,0,0,1,,0,1,0,0,0,0,0,0,0,0,1,1,1
7,83,2,,10,0,1,0,0,1,,0,0,1,0,0,0,0,0,0,0,1,1,1
7,84,2,,10,0,1,0,0,1,,0,0,0,1,0,0,0,0,0,0,1,1,1
7,85,4,13190.33,10,0,1,0,0,1,9.487239,0,0,0,0,1,0,0,0,1,0,1,1,2
7,86,4,12844.86,10,0,2,0,1,1,9.460699,0,0,0,0,0,1,0,0,1,0,2,4,2
7,87,4,16574.59,10,0,3,0,1,1,9.715626,0,0,0,0,0,0,1,0,1,0,3,9,2
8,81,4,15526.21,12,0,0,0,1,1,9.650285,1,0,0,0,0,0,0,0,1,0,0,0,2
8,82,4,16442.46,12,0,1,0,1,1,9.707623,0,1,0,0,0,0,0,0,1,0,1,1,2
8,83,4,17075.99,12,0,2,0,1,1,9.745429,0,0,1,0,0,0,0,0,1,0,2,4,2
8,84,5,25164.25,12,0,3,0,0,1,10.13318,0,0,0,1,0,0,0,0,1,0,3,9,2
8,85,5,26341.47,12,0,3,1,0,1,10.1789,0,0,0,0,1,0,0,0,1,0,4,16,2
8,86,5,28164.17,12,0,3,2,0,1,10.24581,0,0,0,0,0,1,0,0,1,0,5,25,2
8,87,5,32800.14,12,0,3,3,0,1,10.39819,0,0,0,0,0,0,1,0,1,0,6,36,2
9,81,1,,11,0,0,0,0,1,,1,0,0,0,0,0,0,1,0,0,0,0,0
9,82,2,,12,0,0,0,0,1,,0,1,0,0,0,0,0,0,0,0,0,0,1
9,83,4,1230.77,12,0,0,0,0,1,7.115395,0,0,1,0,0,0,0,0,1,0,0,0,2
9,84,4,1160.69,12,0,1,0,0,1,7.05677,0,0,0,1,0,0,0,0,1,0,1,1,2
9,85,5,8277.86,12,0,2,0,0,1,9.021339,0,0,0,0,1,0,0,0,1,0,2,4,2
9,86,5,7590.2,12,0,2,1,0,1,8.934613,0,0,0,0,0,1,0,0,1,0,3,9,2
9,87,2,,12,0,2,2,0,1,,0,0,0,0,0,0,1,0,0,0,4,16,1
10,81,2,,11,0,1,0,0,1,,1,0,0,0,0,0,0,0,0,0,1,1,1
10,82,2,,11,0,1,0,0,1,,0,1,0,0,0,0,0,0,0,0,1,1,1
10,83,2,,11,0,1,0,0,1,,0,0,1,0,0,0,0,0,0,0,1,1,1
10,84,5,18139.18,11,0,1,0,1,1,9.805829,0,0,0,1,0,0,0,0,1,0,1,1,2
10,85,5,12025.05,11,0,1,1,1,1,9.394747,0,0,0,0,1,0,0,0,1,0,2,4,2
10,86,2,,11,0,1,2,0,1,,0,0,0,0,0,1,0,0,0,0,3,9,1
10,87,2,,11,0,1,2,0,1,,0,0,0,0,0,0,1,0,0,0,3,9,1
11,81,2,,11,0,0,0,0,1,,1,0,0,0,0,0,0,0,0,0,0,0,1
11,82,2,,11,0,0,0,0,1,,0,1,0,0,0,0,0,0,0,0,0,0,1
11,83,5,10336.85,11,0,0,0,0,1,9.24347,0,0,1,0,0,0,0,0,1,0,0,0,2
11,84,5,13301.6,11,0,0,1,0,1,9.49564,0,0,0,1,0,0,0,0,1,0,1,1,2
11,85,5,16648.19,11,0,0,2,0,1,9.720057,0,0,0,0,1,0,0,0,1,0,2,4,2
11,86,5,11744.41,11,0,0,3,0,1,9.371133,0,0,0,0,0,1,0,0,1,0,3,9,2
11,87,5,8287.29,11,0,0,4,0,1,9.022478,0,0,0,0,0,0,1,0,1,0,4,16,2
12,81,2,,14,0,0,0,0,1,,1,0,0,0,0,0,0,0,0,0,0,0,1
12,82,2,,14,0,0,0,0,1,,0,1,0,0,0,0,0,0,0,0,0,0,1
12,83,4,14159.67,14,0,0,0,1,1,9.558153,0,0,1,0,0,0,0,0,1,0,0,0,2
12,84,4,16828,14,0,1,0,1,1,9.7308,0,0,0,1,0,0,0,0,1,0,1,1,2
12,85,4,17749.32,14,0,2,0,1,1,9.784102,0,0,0,0,1,0,0,0,1,0,2,4,2
12,86,4,13961.26,14,0,3,0,0,1,9.544042,0,0,0,0,0,1,0,0,1,0,3,9,2
12,87,4,37673.07,14,0,4,0,1,1,10.5367,0,0,0,0,0,0,1,0,1,0,4,16,2
13,81,2,,11,0,0,0,0,1,,1,0,0,0,0,0,0,0,0,0,0,0,1
13,82,2,,11,0,0,0,0,1,,0,1,0,0,0,0,0,0,0,0,0,0,1
13,83,2,,11,0,0,0,0,1,,0,0,1,0,0,0,0,0,0,0,0,0,1
13,84,2,,11,0,0,0,0,1,,0,0,0,1,0,0,0,0,0,0,0,0,1
13,85,2,,11,0,0,0,0,1,,0,0,0,0,1,0,0,0,0,0,0,0,1
13,86,5,,11,0,0,0,0,1,,0,0,0,0,0,1,0,0,1,0,0,0,2
13,87,,,11,0,0,1,,1,,0,0,0,0,0,0,1,0,0,0,1,1,
14,81,2,,11,0,0,0,0,1,,1,0,0,0,0,0,0,0,0,0,0,0,1
14,82,2,,11,0,0,0,0,1,,0,1,0,0,0,0,0,0,0,0,0,0,1
14,83,2,,11,0,0,0,0,1,,0,0,1,0,0,0,0,0,0,0,0,0,1
14,84,5,6127.03,11,0,0,0,0,1,8.720466,0,0,0,1,0,0,0,0,1,0,0,0,2
14,85,2,,11,0,0,1,0,1,,0,0,0,0,1,0,0,0,0,0,1,1,1
14,86,2,,11,0,0,1,0,1,,0,0,0,0,0,1,0,0,0,0,1,1,1
14,87,5,8445.73,11,0,0,1,0,1,9.041416,0,0,0,0,0,0,1,0,1,0,1,1,2
15,81,2,,11,0,0,0,0,1,,1,0,0,0,0,0,0,0,0,0,0,0,1
15,82,2,,11,0,0,0,0,1,,0,1,0,0,0,0,0,0,0,0,0,0,1
15,83,2,,11,0,0,0,0,1,,0,0,1,0,0,0,0,0,0,0,0,0,1
15,84,2,,11,0,0,0,0,1,,0,0,0,1,0,0,0,0,0,0,0,0,1
15,85,2,,11,0,0,0,0,1,,0,0,0,0,1,0,0,0,0,0,0,0,1
15,86,2,,11,0,0,0,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,1
15,87,2,,11,0,0,0,0,1,,0,0,0,0,0,0,1,0,0,0,0,0,1
16,81,2,,11,0,0,1,0,1,,1,0,0,0,0,0,0,0,0,0,1,1,1
16,82,1,,11,0,0,1,0,1,,0,1,0,0,0,0,0,1,0,0,1,1,0
16,83,2,,12,0,0,1,0,1,,0,0,1,0,0,0,0,0,0,0,1,1,1
16,84,1,,12,0,0,1,0,1,,0,0,0,1,0,0,0,1,0,0,1,1,0
16,85,1,,13,0,0,1,0,1,,0,0,0,0,1,0,0,1,0,0,1,1,0
16,86,1,,14,0,0,1,0,1,,0,0,0,0,0,1,0,1,0,0,1,1,0
16,87,5,18598.82,15,0,0,1,0,1,9.830853,0,0,0,0,0,0,1,0,1,0,1,1,2
18,81,1,,12,0,0,0,0,1,,1,0,0,0,0,0,0,1,0,0,0,0,0
18,82,3,16117.19,13,0,0,0,1,1,9.687642,0,1,0,0,0,0,0,0,1,0,0,0,2
18,83,3,15738.59,13,1,0,0,1,1,9.663871,0,0,1,0,0,0,0,0,1,0,1,1,2
18,84,2,,13,2,0,0,0,1,,0,0,0,1,0,0,0,0,0,0,2,4,1
18,85,1,,13,2,0,0,0,1,,0,0,0,0,1,0,0,1,0,0,2,4,0
18,86,1,,14,2,0,0,0,1,,0,0,0,0,0,1,0,1,0,0,2,4,0
18,87,1,,15,2,0,0,0,1,,0,0,0,0,0,0,1,1,0,0,2,4,0
19,81,4,12887.83,11,0,0,0,0,1,9.464039,1,0,0,0,0,0,0,0,1,0,0,0,2
19,82,2,,11,0,1,0,0,1,,0,1,0,0,0,0,0,0,0,0,1,1,1
19,83,4,14013.28,11,0,1,0,1,1,9.547761,0,0,1,0,0,0,0,0,1,0,1,1,2
19,84,4,15658.72,11,0,2,0,1,1,9.658783,0,0,0,1,0,0,0,0,1,0,2,4,2
19,85,4,15238.09,11,0,3,0,1,1,9.631554,0,0,0,0,1,0,0,0,1,0,3,9,2
19,86,2,,11,0,4,0,0,1,,0,0,0,0,0,1,0,0,0,0,4,16,1
19,87,4,14234.65,11,0,4,0,1,1,9.563435,0,0,0,0,0,0,1,0,1,0,4,16,2
20,81,1,,12,0,0,0,0,1,,1,0,0,0,0,0,0,1,0,0,0,0,0
20,82,1,,13,0,0,0,0,1,,0,1,0,0,0,0,0,1,0,0,0,0,0
20,83,1,,14,0,0,0,0,1,,0,0,1,0,0,0,0,1,0,0,0,0,0
20,84,2,,15,0,0,0,0,1,,0,0,0,1,0,0,0,0,0,0,0,0,1
20,85,1,,15,0,0,0,0,1,,0,0,0,0,1,0,0,1,0,0,0,0,0
20,86,4,11552.18,16,0,0,0,0,1,9.35463,0,0,0,0,0,1,0,0,1,0,0,0,2
20,87,4,13467.98,16,0,1,0,0,1,9.50807,0,0,0,0,0,0,1,0,1,0,1,1,2
21,81,1,,10,0,0,0,0,1,,1,0,0,0,0,0,0,1,0,0,0,0,0
21,82,2,,11,0,0,0,0,1,,0,1,0,0,0,0,0,0,0,0,0,0,1
21,83,1,,11,0,0,0,0,1,,0,0,1,0,0,0,0,1,0,0,0,0,0
21,84,2,,12,0,0,0,0,1,,0,0,0,1,0,0,0,0,0,0,0,0,1
21,85,5,7091,12,0,0,0,0,1,8.866582,0,0,0,0,1,0,0,0,1,0,0,0,2
21,86,2,,12,0,0,1,0,1,,0,0,0,0,0,1,0,0,0,0,1,1,1
21,87,2,,12,0,0,1,0,1,,0,0,0,0,0,0,1,0,0,0,1,1,1
22,81,1,,13,0,0,0,0,1,,1,0,0,0,0,0,0,1,0,0,0,0,0
22,82,1,,14,0,0,0,0,1,,0,1,0,0,0,0,0,1,0,0,0,0,0
22,83,3,,15,0,0,0,0,1,,0,0,1,0,0,0,0,0,1,0,0,0,2
22,84,1,,15,1,0,0,0,1,,0,0,0,1,0,0,0,1,0,0,1,1,0
22,85,3,27352.87,16,1,0,0,1,1,10.21658,0,0,0,0,1,0,0,0,1,0,1,1,2
22,86,3,32860.24,16,2,0,0,1,1,10.40002,0,0,0,0,0,1,0,0,1,0,2,4,2
22,87,3,45735.14,16,3,0,0,1,1,10.73062,0,0,0,0,0,0,1,0,1,0,3,9,2
23,81,1,,12,0,0,0,0,1,,1,0,0,0,0,0,0,1,0,0,0,0,0
23,82,1,,13,0,0,0,0,1,,0,1,0,0,0,0,0,1,0,0,0,0,0
